source,target
10089,Q9Y2U2
10089,Q3SYI1
10090,Q9Y2C2
10093,P59998
10097,P61160
101,P78325
101,Q14C66
1010,P55289
10100,B1AKP1
10100,O60636
10100,B2RD31
10102,E5KS95
10102,P43897
10103,O60635
10106,A0A024RBA6
10106,A0A024RB65
10106,O14595
10107,A0A1U9X8M5
10107,Q9UDY6
10110,Q9HBY8
10111,Q92878
10111,A5D6Y3
10112,O95235
10114,Q9H422
10114,A8KAE4
10116,Q9UK73
10121,A0A384NQ21
10121,P61163
10123,A0A024R4C5
10123,P56559
10124,A0A024R9Z2
10124,P40617
10125,O95267
10125,B2RA89
10126,O96015
10128,P42704
10128,E5KNY5
10128,A0A804HIG4
1013,P55291
10131,Q12931
10131,A0A140VJY2
10131,Q53FS6
10133,Q96CV9
10136,P09093
10138,G3V212
10138,Q8IY57
10138,B4DJQ9
1014,O75309
10144,O94988
10146,Q13283
10146,Q5U0Q1
10146,Q6ZP53
10147,M0R2Z9
10147,Q8IX01
10147,A8K5G0
10148,Q14213
10149,Q8IZP9
10149,A8K4P7
10149,Q499H0
1015,Q12864
10150,A2A3S3
10150,Q5VZF2
10152,A0A0C4DG21
10152,B7Z836
10152,F8WAL6
10152,Q9NYB9
10152,A0A7D9NKC8
1016,D6RER2
1016,Q13634
1020,Q00535
1020,A0A090N7W4
1020,A0A0S2Z355
10297,O95996
10314,O43813
10314,Q53TN2
10314,A0A024R3Z5
10314,B2R602
10153,Q03701
10154,O60486
10155,Q13263
10156,O43374
10157,A4D0W4
10157,Q9UDR5
10158,Q13113
10159,O75787
10164,Q8NCG5
10165,Q9UJS0
10166,Q9Y619
10168,O14709
10168,Q7Z6G1
1017,P24941
1017,A0A024RB10
1017,A0A024RB77
1017,E7ESI2
1017,G3V5T9
1017,B4DDL9
10171,Q5VZU3
10171,Q9Y2P8
10174,O60504
10178,Q9UKZ4
10178,B7ZMH4
1018,Q00526
10190,O14530
10193,A0A024RB33
10193,Q9H4P4
10196,O60678
10196,Q8WUV3
10197,P61289
10197,A0A024R203
10197,B3KQ25
10197,V9HWJ8
10197,Q6MZZ1
10198,Q99550
10202,Q13268
10203,Q16602
10203,D3DPG9
10205,A0A024R3K1
10205,O60487
10206,A0A024RDU3
10206,O60858
10206,L7MTJ6
10208,Q5W0Q7
10208,A8K1B1
10208,B3KQ64
10209,P41567
10209,Q6IAV3
1021,Q00534
10212,O00148
10214,A0A024R1B1
10214,Q99909
10215,Q13516
10216,Q92954
10217,O15194
10218,O43827
10219,Q96E93
1022,P50613
1022,A0A0S2Z3F9
1022,D6R9G1
1022,D6RFL0
10223,Q99795
10225,E9PEJ1
10225,P40200
10225,Q8WUE2
10226,A0A140VJN8
10226,O60664
10228,O43752
10229,Q99807
10232,Q13421
10233,Q53EV4
10233,A8K8K2
10235,Q7LDG7
10235,B3KV60
10236,B4DT28
10236,O43390
10236,B4DMB1
10236,B4DMD1
10236,Q0VGD6
10236,Q6MZS5
10238,P61962
10239,A0A024RC62
10239,P59780
1024,P49336
10243,Q9NQX3
10244,A0A024R8A0
10244,A0A0S2Z4Z5
10244,Q7Z6M1
10244,A0A0S2Z4Z1
10246,O00624
10246,A0A024QZY2
10247,A0A024R9H2
10247,P52758
10249,A0A384P5E3
10249,Q6IB77
1025,P50750
1025,A0A024R880
10254,O75886
10257,O15439
10257,A8K2Q2
10260,Q7Z401
10260,A0A7I2RAZ6
10260,Q05C90
10261,O95976
10265,P78411
10266,A0A024R1Z2
10266,O60895
10268,A4D2L1
10268,O60896
10270,O43823
10272,A0A024R1Y8
10272,O95633
10274,Q8WVM7
10274,Q4LE48
10279,F2Z2N5
10279,Q9NQE7
1028,P49918
10280,Q99720
10280,A2A3U5
10280,A0A7P0T9D5
10280,A0A7P0Z4C2
10280,B4DR71
10282,O15155
10282,Q53XK0
10284,O00422
10285,O75940
10287,P49795
10287,B4DP94
10288,Q8N423
1029,K7PML8
1029,P42771
1029,Q8N726
10291,A0A024R1K8
10291,Q15459
10293,Q9BWF2
10294,O60884
10294,A0A024R6S1
10295,A0A024QZA9
10295,O14874
10300,Q9BVA0
10302,A0A024R5X1
10302,O75971
10309,P22674
1031,P42773
1031,Q6ICV4
10311,A8MTY9
10311,A8MY26
10311,O14972
10319,Q9Y6N6
10319,Q8N2D6
1032,A0A024R796
1032,P55273
10320,A0A2R8Y4D3
10320,C9JTB0
10320,Q13422
10320,R9R4D9
10321,P54108
10322,Q6GMV2
10324,O60662
10326,H9KV29
10326,O00241
10326,Q5TFQ8
10328,O43402
10328,Q53Y03
1033,G3V2J7
1033,Q16667
10331,Q9Y2A9
10332,Q9H2X3
10332,B4E2Z5
10336,Q3KNV8
10336,B4DTN5
10336,B3KQ06
10336,B3KWT8
10368,O60359
1038,P51861
10391,Q9UQ03
10485,Q13536
10522,O75398
10343,Q9NTG1
10347,Q8IZY2
10347,B3KUJ3
1036,Q16878
10360,O75607
10363,Q9NP66
10363,B4DMG1
10367,Q9BPX6
10369,Q9Y698
10379,Q00978
10381,Q13509
10381,Q53G92
10382,P04350
10383,P68371
10384,A0A024R042
10384,O00478
10385,A0A024R038
10385,Q8WVV5
10388,Q9BX26
10389,Q9UQR0
1039,Q01850
10390,Q9Y6K0
10390,A1PL14
10393,Q9UM13
10394,Q9Y2Y8
10400,Q9UBM1
10402,A0A087WXB8
10402,Q9Y274
10403,O14777
10403,A8K031
10404,A0A024R9B8
10404,Q9Y646
10406,A0A384MTN6
10406,Q14508
10407,A0A0A0MRG4
10407,Q08648
10407,Q6PDA7
1041,G8JLG2
1041,Q15517
10418,Q9HCB6
10420,Q96S53
10420,B4DFN2
10422,A0A140VK64
10422,Q9BSL1
10425,O95376
10425,Q6IBL8
10425,Q53ET9
10426,A0A087WU06
10426,Q96CW5
10426,B4DYP7
10427,O95487
10427,B4DTM6
1043,P31358
1043,V9HWN9
10435,O14613
10437,A0A024R7N7
10437,P13284
10438,Q13901
1044,P47902
10440,Q99595
10443,A0A024RDV2
10443,B4DPY1
10443,Q92802
10443,Q9Y3H6
10444,A0A024R8B0
10444,Q7Z7L7
10445,A0A024R134
10445,Q96EZ8
10449,P42765
10449,B3KNP8
1045,Q99626
10450,Q9UNP9
10450,B3KSZ1
10451,Q9UKW4
10456,O00165
10456,A0A0S2Z565
10456,A0A0S2Z591
10458,I3L4C2
10458,Q9UQB8
1046,O14627
10460,Q9Y6A5
10461,Q12866
10464,Q8WXW3
10465,O43447
10465,Q6FH36
10466,Q9UP83
10467,O43257
10468,A0A024QZU6
10468,P19883
10469,O43615
1047,O14967
1047,A0A140VKG2
10471,O15212
10471,Q5STK2
10472,Q99592
10474,A0A024R2D7
10474,O75528
10474,A8K899
1048,A0A024R0K5
1048,P06731
1048,Q53G30
10481,Q92826
10481,Q4KR72
10483,A0A2R8YFH5
10483,Q15437
10486,P40123
10486,Q5JPJ8
10494,O00506
10494,A0A024R4B2
10494,A0A0S2Z4Y2
10494,B4DMA5
10494,B4DVS7
10494,B4E185
10494,B3KRS6
10494,Q96BA2
10495,Q16206
10495,Q32ND0
10498,Q86X55
10499,Q15596
10499,B4DPW8
105,Q9NS39
1050,P49715
10500,Q9H3T2
10505,A0A087WYZ7
10505,O95754
10512,Q99985
10513,A0A024QZ47
10513,Q92624
10518,H0YKC8
10518,O75838
10520,A0A0A0MTK1
10520,Q13398
10524,Q92993
10524,A0A024R597
10524,A0A024R5E8
10527,O95373
10527,B3KNG9
10529,O76041
10529,Q59FZ8
1053,Q15744
10540,A0A384MDU9
10540,A8K8J9
10540,Q13561
10540,V9HW58
10540,B3KTX4
10586,Q9Y586
1059,P07199
10590,O76038
10608,Q14582
10612,O75382
10612,B7Z5Y8
10617,O95630
10617,A0A140VK54
10617,A0A804HIF8
10621,Q9H1D9
10621,Q05DB8
10622,A0A024RAM1
10622,O15318
10633,A0A024R1C8
10633,Q92737
10645,Q96RR4
10645,A0A024RBP6
10645,A0A024RBP8
10645,A0A024RBQ0
10645,A0A024RBQ3
10675,A0A087WUT8
10675,O95196
10675,B7Z2E0
10677,O75366
10681,A0A024R5R9
10681,A0A024R5V3
10681,O14775
10683,Q9NYJ7
10687,Q9UL42
10687,Q5U5Z3
10692,O14718
107,Q08828
107,C9J1J0
10715,P27544
10715,Q5XG75
10715,B4DE47
10716,Q16650
10533,O95352
10533,B3KQM6
10534,O60232
10534,G3V1B8
10535,O75792
10536,Q8IVL6
10537,A0A1U9X8S6
10537,O15205
10539,A0A140VJK1
10539,O76003
10542,A0A0C4DGV4
10542,O43504
10544,Q9UNN8
10549,Q13162
10549,V9HW63
10551,O95994
10551,Q4JM46
10553,Q9BUP3
10555,O15120
10555,A0A024R8F9
10555,A0A024R8I7
10556,P78346
10557,P78345
10559,P78382
1056,B4DSX9
1056,O75612
1056,Q86SR3
10560,O60779
10560,A0A024R8Y5
10560,A0A024R928
10562,A0A024QZ95
10562,Q6UX06
10563,O43927
10563,Q53X90
10564,Q9Y6D5
10564,A0A7P0T7Z2
10564,Q59FR3
10564,Q86TH5
10566,O75969
10566,V9HWD4
10568,O95436
10572,O15304
10573,Q13084
10574,Q99832
10576,P78371
10576,V9HW96
10578,B4E3H9
10578,P22749
1058,P49450
10584,A0A024R9J3
10584,Q9Y6Z7
10585,A0A140VKE0
10585,Q5JT02
10585,Q9Y6A1
10588,P49914
10589,Q14919
10591,O43598
10592,O95347
10592,A0A024R158
10592,A8K984
10592,B7ZLZ7
10592,B3KMB1
10592,Q05BV1
10592,Q05D74
10592,Q7Z2X1
10592,Q6IPS5
10595,Q76MJ5
10595,E7ETG2
10595,A5YM46
10595,A5YM65
10599,Q9Y6L6
10599,A0A024RAU7
10599,Q05CV5
1060,Q03188
10605,Q9H074
10606,P22234
10607,Q12788
10610,A0A024R8M1
10610,Q9UJ37
10611,Q96HC4
10611,A0A024RDE8
10611,B7Z481
10611,B7Z8X5
10613,O75477
10614,O94992
10615,Q96R06
1062,Q02224
10620,Q8IVW6
10623,Q9BUI4
10625,Q9Y6Y0
10626,B3KP96
10626,O95361
10629,A0A024R5A7
10629,Q9Y6J9
10629,A8K0D4
1063,P49454
10634,A0A5E8
10634,Q99501
10635,Q96B01
10636,O43566
10637,O75610
10640,O00471
10643,O00425
10647,O95969
10648,O95968
10651,O75431
10656,O75525
10657,Q07666
10659,A0A0J9YX66
10659,A0A0J9YXJ0
10659,A0A1B0GU44
10659,A0A1B0GUN8
10659,E9PC62
10659,O95319
10659,B4DDE7
10659,B4DIB6
10659,B4DT00
10659,B4DZ01
1066,P23141
10661,Q13351
10663,O00574
10663,A0N0N3
10664,P49711
10664,A0A2R8YFL0
10665,A0A1U9X7D1
10665,E9PLW3
10665,Q5SRN2
10665,B4DXY0
10665,Q13647
10666,J3QR77
10666,Q15762
10667,O95363
10668,Q99675
10669,Q99674
10672,A0A024R8M0
10672,Q14344
1068,A0A140VJG3
1068,Q12798
10682,Q15125
10682,A0A024QYX0
10686,Q9Y5I7
10690,Q9Y231
10691,B1AT47
10691,Q9Y692
10691,B2RCN8
10693,Q92526
10695,Q9BT09
10699,A0A087X1D5
10699,J3KR83
10699,Q9Y5Q5
10699,B4E1Y7
10699,B4E2W9
1070,E5RFM2
1070,E5RJF8
1070,O15182
1071,P11597
1071,A0A0S2Z3F6
1071,A0A0S2Z3I8
1071,B4DMZ5
10712,P81408
10712,Q9Y6J7
10721,O75417
10721,Q59EE4
10724,O60502
10725,O94916
10725,A0A024R734
10745,Q9UMS5
10767,D9YZV0
10767,Q9Y450
10768,O43865
10768,A0A024R0A8
10776,A0A024R5U3
10776,H3BMD8
10776,P56211
10777,A8K1F3
10777,Q9UBL0
10777,A0A804HI65
10777,A8K0T4
108,Q08462
108,Q71UM8
10817,A0A140VJJ7
10817,O43559
10842,A0A090N8N7
10842,O96001
10858,Q9Y6A2
10867,O75954
10893,Q9Y5R2
10893,Q86VV6
10900,Q59EK9
10732,Q9UL49
10732,Q86TP4
10733,O00444
10734,D6W5U7
10734,Q9UJ98
10735,Q8N3U4
10735,Q6MZM3
10735,Q6MZP3
10735,Q6AI02
10736,Q9NPC8
10736,Q8TBA2
10738,O75679
10739,O75678
10741,O75884
10744,Q9NZH5
10746,Q9Y2U5
10746,A0A024RAH0
10747,O00187
10753,O14815
10753,E7ESS6
10753,B4DNR4
10753,Q6PIV8
10755,A0A024R7I0
10755,A0A024R7I1
10755,O14908
10755,A8K2I7
10761,Q9HBJ0
10762,A0A024R4X7
10762,Q9UKX7
10762,B4E2D3
10765,Q9UGL1
10765,A0A3B3ITA8
10772,A0A0S2Z504
10772,O75494
10772,Q5JRI1
10772,B3KNY6
10773,Q15916
10780,A0A024R0N3
10780,Q14588
10786,A0A024QZX7
10786,O00476
1080,P13569
1080,A0A024R730
10801,Q9UHD8
10801,A0A0S2Z5A5
10802,O95486
10802,B4E205
10803,P51686
10803,B2R734
1081,P01215
1081,A0A087WYZ4
1081,Q6I9S8
10818,L7RTG7
10818,Q8WU20
1082,A0A0F7RQP8
1082,P0DN86
1084,P40198
10840,O75891
10840,Q53H87
10841,O95954
10844,Q9BSJ2
10844,Q53EQ3
10846,Q9Y233
10846,A0A1B1UZQ1
10846,A0A1B1UZR0
10850,Q5VZ77
10850,Q9Y4X3
10855,Q9Y251
10856,Q9Y230
10856,B3KNL2
10859,A0A087WSV6
10859,A0A087WSX8
10859,A0A0B4J1W1
10859,A8MVE2
10859,D9IDM5
10859,Q8NHL6
10861,Q9H2B4
10863,A0A384NKT9
10863,Q9UKQ2
10864,Q9Y694
10865,Q03989
10868,Q9Y2K6
1087,Q14002
10874,A0A0B4J202
10874,A0A250SH36
10874,E9PDJ7
10874,P48645
10874,Q86WB6
10876,Q14507
10876,W0UTC5
10877,Q92496
10878,Q02985
10879,P02814
10879,Q504X8
1088,P31997
1088,Q0Z7S6
1088,B4DLI3
10880,A0A140VKC6
10880,Q9Y614
10881,A0A140VK03
10881,Q9Y615
1089,O75871
10891,Q9UBK2
10891,A0A024R9Q9
10892,Q9UDY8
10892,A8K5S1
10898,B7Z7B0
10898,O95639
10899,O76095
10901,Q9BTZ2
10902,Q9H0E9
10902,B4DEG9
10902,B4DMS9
10902,B4DN43
10904,P62952
10905,O60476
10906,A0A024RBK4
10906,O14545
10907,K7ESL1
10907,P83876
10911,O95399
10911,A0AVP6
10912,O95257
10913,Q9UNE0
10914,A0A024R6M3
10914,A0A0C4DGK1
10914,P51003
10914,A0A024R6J7
10920,Q99627
10920,A0A024R4D1
10921,D3DU92
10921,H3BMS0
10921,Q15287
10922,A0A090N8I0
10922,A0A090N8Z7
10922,Q14296
10923,P53999
10923,Q6IBA2
10926,Q9UBU7
10926,B4DXK0
10926,B7Z8C6
10929,A0A024R3A8
10929,Q9BRL6
10930,Q9Y235
10933,Q9UBU8
10938,Q9H4M9
10938,A0A024R571
10938,B2R5U3
10939,Q9Y4W6
10939,Q8TA92
10941,P0DTE4
10941,A0A140T9Z0
10941,D6RFW5
10942,Q9Y6M0
10943,Q8N5Y2
10944,O00193
10953,Q15785
10983,A0A024RDH0
10983,Q14094
10990,O75023
11005,Q9NQ38
11009,Q13007
11009,A0A7R8C2Y5
11033,O75689
11033,A8K3A2
11033,B4DUZ7
11040,Q9P1W9
11040,A0A024QYW7
11057,A0A024RC89
11057,P08910
11060,A0A024R711
11060,O00308
11060,B4DHF6
11064,Q7Z7A1
11064,B2RP65
11067,Q9NTK1
11069,Q8WZA2
11069,B7Z278
11075,Q93045
11076,O94811
11076,Q4L233
11095,Q9UP79
11095,Q5FWF1
11120,Q7KYR7
11122,A0A075B6H0
11122,O14522
11136,P82251
1114,P05060
11141,Q9NZN1
11141,X5DNQ7
11144,Q14565
10959,Q15363
10959,Q6FHT8
10963,P31948
10963,V9HW72
10972,P49755
10972,A0A024R6I3
10975,O14957
10981,Q13637
10987,Q92905
10987,A0A024R7W9
10988,P50579
10988,A0A140VJE3
10988,F8VQZ7
10989,Q16891
10991,Q99624
10992,Q13435
10993,P20132
10993,Q8WW81
10998,Q9Y2P5
11000,Q5K4L6
11000,X6R3N0
11001,O14975
11004,Q99661
11004,A0A140VKF1
11004,B7Z6Q6
11004,B7Z7M6
1101,O15335
11011,Q86UE8
11011,J3QLK5
11011,A0A804HJZ9
11011,A0A804HK10
11011,B4DUC2
11012,A0A1R3UDR5
11012,Q9UBX7
11013,P0CG34
11013,P0CG35
11015,A0A024R1R0
11015,O43731
11017,A8K513
11017,Q8WVK2
11019,A0A024R9W0
11019,B4E0L7
11019,O43766
11019,Q6P5Q6
11020,Q9BW83
11022,Q9Y2W6
11022,B4DJ68
11025,O75022
11026,Q8N6C8
11027,A8MZH0
11027,Q8N149
11036,A0A140VKA3
11036,Q9UNN4
1104,A0A0S2Z404
1104,P18754
1104,Q5T081
1104,A0A0S2Z3I4
11045,O00322
11047,A0A087WX59
11047,Q16186
1105,O14646
1105,B3KT33
11051,A0A024R6W2
11051,O43809
11055,Q9BS86
11056,Q9Y2R4
11056,B3KM65
11059,Q9H0M0
11063,B4DXW7
11063,O94993
11065,O00762
11065,A0A087WVK1
11065,A0A0A0MSE8
11065,Q5TZN3
11066,A0A024RBU2
11066,Q16560
11073,Q92547
11073,A0AV47
11073,A7E2X7
11073,Q05BV8
11074,Q2L6J1
11074,Q9BZY9
11077,O75031
11077,Q6IAT7
11081,O60938
11082,Q9NQ30
11083,Q9BTC0
11085,Q9UKF2
11085,Q8TBZ7
11086,A0A140VJD8
11086,Q9UKF5
1109,P17516
11092,A0A024R8F2
11092,Q96E40
11093,Q76LX8
11094,Q9UGQ2
11099,Q16825
11102,O95059
11104,O75449
11104,A8K7S5
1111,O14757
1111,E7EPP6
1111,B4DT73
11116,A0A087WV25
11116,O95684
11116,B4DH64
11118,P78410
11118,A8K4B5
11119,O00481
11119,A8K547
11123,A0A024RAH2
11123,Q9UKA8
11124,Q9UNN5
11126,O95971
11126,Q6FH89
1113,G5E968
1113,P10645
1113,Q86T07
11130,O95229
11131,Q9UMQ6
11143,O95251
11146,Q92990
11146,B4DJ85
11151,A0A024R611
11151,P31146
11157,P62312
11163,Q9NZJ9
11163,A0A024RBD0
11163,A0A024RBG1
11163,A0A0C4DGJ4
11168,O75475
11169,O75717
1117,Q15782
11170,A0A024R327
11170,O95990
11170,Q6IAM1
11174,Q9UKP5
11174,Q5IR90
11178,Q9Y250
11183,Q9Y4K4
11183,A0A804HIS2
11183,B3KWC4
11184,Q92918
11190,Q9BV73
11213,Q9Y616
11219,Q9BQ50
11226,Q8NCL4
1123,P15882
11232,E5KS15
11232,Q9UHN1
1124,P52757
1124,A0A2X0TVW3
1124,B3VCF4
1124,B3VCF5
1124,B3VCF6
1124,B7Z1V0
1124,B7Z1W9
1124,B7Z215
1124,B7Z232
1124,B3VCF9
11240,Q9Y2J8
11245,Q14439
11251,Q9Y5Y4
11255,Q9Y5N1
11262,Q13342
11262,B4DVW8
11262,Q0VGE4
11262,Q8IWJ1
11273,H3BUF6
11273,Q8WWM7
11276,Q9UMZ2
11278,Q9Y4X4
11278,Q8WWI3
11280,Q9UI33
11280,A0A6Q8PGY3
1130,Q99698
1131,P20309
1131,A0A024R3W1
11311,A0A2R8YE10
11311,Q9NRW7
11311,B7Z360
11311,B7Z5D4
11314,J3QKQ4
11314,Q9UGN4
11332,O00154
11334,O75896
11335,Q13185
11335,A4D177
11148,C9J7D0
11148,Q9UM44
11153,A0A024RBM8
11153,Q9BVA6
11154,Q9Y587
11155,A0A0S2Z501
11155,A0A0S2Z530
11155,O75112
11156,O75365
1116,A0A024R969
1116,P36222
11161,Q6FII3
11161,Q9UKR5
11161,Q86TW5
11172,Q9Y581
11173,Q9UKP4
11173,Q9UFZ4
11176,Q9UIF9
11176,F8VU39
1118,Q13231
11181,O43280
11187,Q9Y446
11189,Q5SZQ8
11189,Q59G45
1119,P35790
11194,Q9NUT2
11196,Q9Y6Y8
11197,Q9Y5W5
11199,Q9UJ72
11202,O60259
11202,A0A0A0MQY9
11211,Q9ULW2
11211,Q6NSL8
1122,P26374
11221,Q9Y6W6
11228,A0A024RB12
11228,Q8NHQ8
11228,A8K8G8
11231,A0A0S2Z5M1
11231,Q9UGP8
11236,Q8WU17
11237,Q9Y225
11238,Q9Y2D0
11238,A0A024RBW9
112398,Q96KS0
112398,A0A024R0R2
112399,Q9H6Z9
112399,F8W1G2
112399,B3KVT0
112399,Q3T1B0
11254,Q9UN76
11254,B2R8J1
11261,A0A024R9M9
11261,H0YKE7
11261,Q99653
112611,Q9UIY3
112611,B4DZK9
112611,B2R7R2
11264,Q9Y6I8
11269,A0A024QZ90
11269,A0A0U4B4U6
11269,Q9UMR2
11269,B4DL69
112714,Q6PEY2
11272,Q16378
11274,Q9UMW8
11279,A0A024R9X4
11279,O95600
11281,P78424
11282,Q9UQ53
11283,P98187
11284,Q96T60
112869,Q96ES7
11309,O94956
11309,A0A024R5I4
11309,A0A0A0MTF1
11316,M0QXB4
11316,O14579
11317,Q5QPV1
11317,Q9UBG7
113177,Q1ZYL8
11320,Q9UM21
113251,Q71RC2
113251,Q8TBL5
113251,Q96J85
113251,Q6P4E2
11326,Q9Y279
11330,Q99895
11336,A0A024QYZ6
11336,O60645
11336,Q69YP2
11337,O95166
11337,Q6IAW1
11338,P26368
11339,A0A024R9N0
11339,O43482
1134,P02708
1134,Q53SH4
113419,Q6UWH6
1136,P32297
113835,Q9Y2Q1
1139,P36544
1139,A0A0A6YYA8
114088,Q9C026
114088,A0A804HIL7
1142,Q05901
114548,Q96P20
114548,A0A7I2R3P8
1147,O15111
114897,A0A0C4DFP7
114897,Q9BXJ1
114897,A0A3B0J271
1149,O60543
1149,B3KVA2
1149,Q8N5P9
1158,P06732
1158,B2R892
116,P18509
116,B7Z222
1160,A0A024RAK5
1160,P17540
116138,Q9BQ90
116150,Q96E22
116372,Q8N2G4
1164,P33552
116986,A0A024RB55
116986,F8VVT9
116986,Q99490
117155,F8W9H2
117155,Q96P56
117178,Q9Y2D8
117178,B7ZB07
117247,Q8TF71
1178,Q05315
1183,P51793
1185,P51797
119,P35612
119,Q05DK5
1200,O14773
1230,P32246
1230,Q5U003
1234,P51681
1234,Q38L21
1235,P51684
1236,P32248
1236,A0N0Q0
1236,J3KSS9
1237,P51685
1238,O00590
1238,A1LP82
1240,Q99788
1241,Q15722
124222,I3L1A2
124222,I3L265
124222,Q8N4S7
1261,Q16281
126321,Q6NUT3
1267,A0A024R1T5
1267,P09543
1268,P21554
1268,S5TLS4
1268,V5KA96
1269,P34972
1269,A0A024RAH7
1270,P26441
1272,A0A024R104
1272,Q12860
127703,Q8TAB5
11344,Q6IBS0
113457,P0DPH8
113457,Q1ZYQ1
1137,P43681
1137,Q4VAQ3
1137,Q59FV0
1137,B4DK78
113878,Q86UW9
1140,P11230
114034,Q96GM8
114049,O43709
1143,P30926
114327,B2CKC5
114327,Q5JVL4
114335,A6NKQ9
114336,Q6NT52
1145,Q04844
1146,P07510
1146,A0A6F7YAP6
114625,A0A1C9HIH9
114625,Q96PL5
114791,Q96RT8
114885,A0A140VJQ6
114885,Q9BXB4
115,O60503
115123,Q86UD3
115290,Q96EF6
1154,Q9NSE2
115817,Q96LJ7
116039,Q8N2R0
116151,Q96KR6
116832,Q96EH5
1179,A8K7I4
1180,P35523
1181,P51788
1184,P51795
1184,V9GYG7
1184,A8K4H5
1184,B3KRR2
1186,P51798
1187,P51800
1188,P51801
1188,A8K8H0
1203,A0A024R644
1203,O75503
1208,A0A087WZW1
1208,A0A087X0Q7
1208,P04118
1212,A0A024R7S3
1212,P09497
122616,Q96F83
1232,P51677
1232,A1LPE5
1232,Q8TDP4
1232,Q8TDP5
123872,A0A140VJN4
123872,Q8NEP3
123876,F5GWL3
123876,Q08AH3
123876,B7Z530
124,P07327
124152,Q8N0W5
124152,B4DXE1
124152,B4E1V3
1244,Q92887
124583,A0A024R8U8
124583,Q8WVQ1
124641,Q8WZ82
124801,Q3MHD2
125,P00325
125,D6RHZ6
125,V9HW50
1258,Q14028
125893,A0A024R4J0
125893,Q0VGE8
1259,P29973
1259,A0A024R9X3
126,P00326
126017,Q6ZN06
126353,Q8IVT2
126393,O14558
126393,V9HWB6
127544,Q6ZMZ0
1277,P02452
127833,Q8N9I0
1285,Q01955
1288,A0A087WZY5
1288,A8MXH5
1288,F5H3Q5
1288,Q14031
1288,A8VPY0
1288,B7ZMM7
1288,B2RTX6
1289,A0A024R8E5
1289,P20908
1289,B2ZZ86
1289,Q59EE7
129080,B0QYK5
129080,Q96A84
1291,A0A384P5H7
1291,P12109
1294,Q02388
1294,Q59F16
1295,P27658
1298,Q14055
1298,D3DPU8
1301,P12107
1301,Q59HB5
1305,Q5TAT6
1308,Q9UMD9
130916,B4DFP7
130916,Q7Z6M4
131,P40394
1311,P49747
1314,P53621
131578,Q8TF66
131578,B3KWI4
132,P55263
132,A0A140VJE0
132,A0A5F9ZH72
132,A0A5F9ZHJ1
1326,P41279
1326,Q6FG25
134,P30542
134,B7Z1L9
135,P29274
135,X5DNB4
135,A8K1F6
135,B3KVQ4
136,P29275
1362,O75976
1371,P36551
1378,E9PDY4
1378,P17927
1380,P20023
138046,B3KT61
138046,Q86SE5
1381,P29762
1381,F1T0F7
1382,P29373
1385,P16220
1385,Q53X93
1385,Q5U0J5
1385,B7Z5C6
1386,P15336
1386,A4D7V5
1392,A0A0S2Z478
1392,P06850
1393,P24387
1394,P34998
1394,A0A024R9X9
1394,B3TIK8
1394,K9J956
1394,B3SXS2
1394,G3CIS4
1398,P46108
1398,A0A0S2Z3K9
